Tweets
"January 6, 2021 made it clear: there is a dagger at the throat of our democracy. Tomorrow, I’m headed to Atlanta where I will discuss the road ahead in our fight for voting rights."
"Today, my administration announced that health insurers will be required to cover the cost of at-home COVID testing kits starting January 15th."
"We must be firm, resolute, and unyielding in our defense of the right to vote and to have that vote counted. We must have debate and a vote on both the John Lewis Voting Rights Advancement Act and the Freedom to Vote Act."
"Today, on National Law Enforcement Appreciation Day, Jill and I want to thank the brave men and women who put their lives on the line to protect and serve our communities. Thank you for the sacrifices you and your families make to help keep Americans safe."
"My message to everyone impacted by the Marshall Fire is this: We’re here with you. I intend to do whatever it takes, as long as it takes to support you, your state and local government to help you recover and rebuild these communities."
"Harry Reid and I grew up on different sides of the country, but we came from the same place where certain values run deep. Loyalty. Faith. Resolve. Service. He was a dear friend, a great American, and a giant of our history. May he rest in peace."
America has given out over 70 million booster shots. It’s easier than ever to get a booster – and more important than ever. Get yours today:
"Yesterday afternoon, I visited Colorado to see the aftermath of the recent wildfire firsthand and meet with those impacted. As I told folks on the ground: The federal government is not going away. We’re here for you as you recover and rebuild."
"The son of tomato farmers in the Bahamas, Sidney Poitier became the first Black man to win the Academy Award for Best Actor — but the trail he blazed extended leaps and bounds beyond his background or profession. Jill and I send our love and prayers to his loved ones."
We added 6.4 million jobs last year. That’s the most jobs in any calendar year by any president in history. How? The American Rescue Plan got the economy off its back and humming again — and 200 million vaccinations got Americans out of their homes and back to work.
Record job creation. Record unemployment declines. Record increase in people in the labor force. The Biden economic plan is working — and it is getting America back to work.
"Today, the nation’s unemployment rate fell to 3.9%. That’s the sharpest one year drop in unemployment in U.S. history."
Tune in as I deliver remarks on the December 2021 jobs report.
"It is up to all of us, We the People, to stand for the rule of law. To preserve the flame of democracy. To keep the promise of America alive."
"In the face of a violent mob on January 6, House and Senate staff sprang into action to defend the Capitol and our democracy. I called some of them today to hear their stories and thank them for their courage. They are just a few of the unsung heroes of that day."
"One year ago, our democracy was attacked and our Constitution faced the gravest of threats. But We the People prevailed. Now, it’s up to us to choose what kind of nation we’re going to be."
We must never forget the officers we lost on January 6 or in the aftermath that followed. They made the ultimate sacrifice in defense of our democracy.
"Despite what the former president says, there is simply zero proof that the 2020 election results were inaccurate."
"I have said it many times, and it is no more true or real than when we think about the events of January 6: We are in a battle for the soul of America. A battle that by the grace of God, and by the goodness and greatness of this nation, we will win."
You can’t love your country only when you win. You can't obey the law only when it's convenient. You can't be patriotic when you embrace or enable lies.
Here is the truth: The former president of the United States has created and spread a web of lies about the 2020 election. He’s done so because he values power over principle. Because his bruised ego matters more to him than our democracy or Constitution.
"Last year, for the first time in our history, a president who just lost an election tried to prevent the peaceful transfer of power as a violent mob breached the Capitol. But they failed. And on this day of remembrance we must make sure that such an attack never happens again."
Tune in as I deliver remarks to mark one year since the January 6th deadly assault on the Capitol.
"One year ago today, democracy was attacked. The will of the people was under assault. And our Constitution faced the gravest of threats. I’m heading to the Capitol this morning to speak about the day of insurrection, the state of American democracy, and where we go from here."
"The Pfizer antiviral pills have the potential to dramatically alter the impact that COVID-19 has on this country and its people. That’s why yesterday, I doubled our order to 20 million treatment courses."
"Today, the CDC approved the Pfizer COVID-19 booster shot for kids ages 12-15. Boosters work — and offer the highest level of protection against Omicron. If your child is eligible, get them boosted today."
"I’m saddened to learn that Lawrence Brooks – who was the oldest surviving U.S. WWII veteran – has passed. I had the honor of speaking with him last year, and he was truly the best of America. I’m keeping his loved ones in my prayers."
"I’ll give it to you straight, as I promised that I always would: We’re going to see COVID cases continue to rise. But you have the power to protect yourself by getting vaccinated and getting boosted."
"I know COVID testing remains frustrating, but we are making improvements. In the last two weeks we have stood up federal testing sites all over this country — and we are adding more each day. Google “COVID test near me” to find the nearest site where you can get a test."
"These coming weeks are going to be challenging. But if we all do our part, we’ll get through this."
"This afternoon, I met with members of my COVID-19 Response Team to discuss the Omicron variant and our efforts to combat it. We are working every day to increase testing capacity, get more Americans vaccinated, and support our hospitals. We will get through this, together."
Omicron is a very transmissible variant — much different than anything we’ve seen before. But you can protect yourself. Get vaccinated. Get boosted. Wear a mask while in public.
We’ve been working around the clock during the holiday weeks to: - Deploy hundreds of military doctors and nurses to staff hospitals - Work with states on their hospital capacity and provide emergency beds - Ship nearly 2.4 million pieces of protective equipment
"Today, we are doubling our Pfizer antiviral pill order from 10 million to 20 million treatment courses. These pills have been shown to dramatically decrease hospitalization and death from COVID-19. They are a game-changer."
